_1.365,_0.7588,0.33435,1.716,0.18766,0.1467,0.3831,0.8449,_0.7469,0.9075,_1.864,2.154,_0.0745,_1.577,2.266,_0.1606,1.223,_0.2062,_0.26448,2.425,4.235,_0.2423,_1.988,1.611,_0.9822,_2.336,_0.7156,_0.6364,1.891,_0.4032,_0.3697
_1.152,_0.4854,0.009,_0.09265,0.0517,_0.4624,0.0316,0.0657,_0.3372,0.3435,_1.155,1.205,0.0586,0.4788,0.7275,1.173,_0.2132,_2.332,_0.1662,1.271,1.753,0.1749,0.2025,_0.05467,_0.41133,_1.078,_0.159,0.0496,0.010525,_1.095,_0.1598
_0.4804,0.1976,0.0425,0.4309,0.3211,_0.7418,_0.8012,_0.6356,_1.021,_0.5903,_2.393,0.7896,0.5782,0.6274,2.079,1.151,0.1654,_1.112,1.635,1.005,1.399,0.09381,_0.2719,_1.081,_0.44812,_1.258,_0.3396,_0.3132,_0.7505,_1.716,_0.116
_0.095,0.3063,0.6304,0.7806,0.8153,_0.9518,_0.724,_1.094,_0.4872,_0.6808,_0.5717,_0.3637,_0.3464,0.1131,0.3636,0.6773,0.7176,0.0287,_0.5041,2.322,1.775,_1.576,0.0433,0.4723,_1.289,_1.729,_0.9109,_0.6991,_0.5254,_0.1763,_0.1103
_1.058,_0.0413,_0.20113,_0.2097,_0.7878,_0.6909,_0.6064,_1.185,1.146,_0.7352,_0.7149,_0.6307,0.903,0.9984,1.627,0.1827,2.216,0.23806,_1.254,_0.5669,3.543,_0.0555,1.288,0.5919,0.1574,_0.9153,_0.3363,0.9212,_0.6615,0.28836,0.5034
_0.1997,_0.6459,0.0554,_0.8913,_0.2946,0.0826,_0.2176,_0.0396,0.4512,0.7007,_0.8246,_0.25377,_0.52967,_0.5043,_0.0278,_0.0824,0.029,0.2148,0.23778,0.4987,_0.1175,_0.1293,0.3846,0.1619,_3.795,_0.1641,0.0984,0.3056,2.172,_0.8392,_0.6774
_0.6385,_0.287,_0.1725,_0.5951,0.1703,0.6095,_0.146,0.4343,_0.828,_0.3281,_1.176,_0.4487,1.287,0.6449,_0.3417,0.1628,_0.8798,_0.0888,_1.706,_0.7313,_0.3668,0.162,_0.0807,0.2439,_3.583,_0.0795,0.8805,1.66,2.019,_0.2785,_0.2276
_0.5501,1.098,1.114,1.033,_0.3485,0.0632,_0.7378,0.0826,0.6216,_1.387,_0.5365,0.8026,0.7567,1.355,1.262,0.7739,_0.2136,_1.282,_0.9987,0.2976,_0.7126,0.9759,1.224,_0.617,_3.107,0.6073,0.7063,_1.107,0.5016,_0.0544,_0.732
_0.9646,_0.3285,0.284044444444444,_0.1989,_0.09828,0.6883,_0.0811,0.2209,1.431,1.307,2.776,0.37838,0.1724,_0.2492,0.8361,_0.7685,0.1314,0.1173,0.3046,0.3026,_0.6224,0.9339,_0.4296,0.2127,0.339755555555555,_0.1356,_0.2493,_0.9208,1.709,_0.191777777777778,_0.2177
_1.642,_2.913,_0.7113,0.7233,_0.4682,_1.697,_0.6839,_1.211,1.581,0.4967,3.004,0.6997,1.589,2.38,_0.638,_1.285,0.3521,_0.39997,0.0754,0.3469,_0.8775,0.9015,_1.901,_0.4218,_0.37442,_0.8943,0.4556,1.679,0.2392,_0.7386,_1.269
_0.4295,_3.295,_2.006,0.5949,0.4885,_1.36,_0.5136,_1.567,1.531,0.1229,2.438,0.3857,0.3616,0.4123,_1.269,0.7187,_0.8716,_1.912,0.0842,0.516,0.1648,_0.8084,0.296,_0.8529,_1.926,_0.562,0.697,0.8229,2.134,2.001,1.536
_0.0652,_2.075,_1.518,_0.0789,_0.0992,0.6372,0.4054,_0.1317,_0.3277,0.464,2.377,1.026,0.9727,0.6069,_0.2869,0.8828,_0.2897,_0.4173,_1.922,_0.7748,_1.29,_0.3286,0.1324,_0.5981,_0.4298,_0.1132,_0.0208,0.0893,0.5844,0.2809,_0.0033
_0.14519,0.0686,0.4599,_0.3341,1.988,0.0282,_0.5029,_0.475,_0.25438,_0.1048,0.0192200000000001,0.2766,_0.0264222222222223,_0.1964,_0.4205,0.0924,0.131,_0.3153,_0.0185,0.3591,_0.5713,_0.08177,_0.6489,_0.6779,_0.2894,0.15599,_0.1647,_1.935,0.5763,_0.7273,_0.4207
0.1302,_0.3843,0.2013,_1.788,_0.3991,_1.055,_0.7263,_0.9182,0.3232,0.4254,0.6922,0.2834,_0.4259,0.0611,_0.1114,_0.0299,0.4246,0.2236,0.1453,_0.2992,0.0816,1.453,_0.6185,_0.016,0.04176,_0.4729,_1.279,_1.553,_0.5374,0.0125,_0.1543
0.4919,_0.8472,_1.38,1.241,0.52,0.7882,0.2333,0.7609,0.8907,_1.048,0.419,1.09,0.6276,_0.2244,_0.1776,1.795,_0.4679,_0.3618,_0.4033,_1.366,_1.39,0.6229,_1.047,_1.838,0.2222,_0.387,_1.012,_2.12,_0.6812,_0.8373,_0.5679
_0.407,0.6198,0.3346,0.2808,0.4872,1.698,_0.5397,_0.2547,_0.4187,1.346,_0.19287,0.5311,0.2719,3.441,_0.3612,_1.945,1.447,2.215,_0.3811,_0.39,0.37139,1.831,_0.1249,_0.3119,_1.07664444444444,_2.609,_0.4274,_1.604,_2.127,_1.589,_1.845
